Week,WebSearch,Google_index
1,10/7/2012,11
2,10/14/2012,8
3,10/21/2012,9
4,10/28/2012,10
5,11/4/2012,14
6,11/11/2012,9
7,11/18/2012,16
8,11/25/2012,14
9,12/2/2012,16
10,12/9/2012,20
11,12/16/2012,21
12,12/23/2012,29
13,12/30/2012,22
14,1/6/2013,27
15,1/13/2013,19
16,1/20/2013,22
17,1/27/2013,23
18,2/3/2013,20
19,2/10/2013,16
20,2/17/2013,20
21,2/24/2013,13
22,3/3/2013,19
23,3/10/2013,19
24,3/17/2013,13
25,3/24/2013,16
26,3/31/2013,29
27,4/7/2013,31
28,4/14/2013,30
29,4/21/2013,27
30,4/28/2013,36
31,5/5/2013,46
32,5/12/2013,46
33,5/19/2013,47
34,5/26/2013,52
35,6/2/2013,52
36,6/9/2013,50
37,6/16/2013,66
38,6/23/2013,55
39,6/30/2013,55
40,7/7/2013,47
41,7/14/2013,42
42,7/21/2013,49
43,7/28/2013,43
44,8/4/2013,47
45,8/11/2013,51
46,8/18/2013,39
47,8/25/2013,30
48,9/1/2013,40
49,9/8/2013,37
50,9/15/2013,28
51,9/22/2013,30
52,9/29/2013,36
53,10/6/2013,67
54,10/13/2013,59
55,10/20/2013,62
56,10/27/2013,65
57,11/3/2013,80
58,11/10/2013,76
59,11/17/2013,71
60,11/24/2013,100
61,12/1/2013,76
62,12/8/2013,81
63,12/15/2013,72
64,12/22/2013,72
65,12/29/2013,62
66,1/5/2014,68
67,1/12/2014,50
68,1/19/2014,62
69,1/26/2014,44
70,2/2/2014,46
71,2/9/2014,43
72,2/16/2014,49
73,2/23/2014,48
74,3/2/2014,48
75,3/9/2014,39
76,3/16/2014,38
77,3/23/2014,41
78,3/30/2014,52
79,4/6/2014,87
80,4/13/2014,72
81,4/20/2014,74
82,4/27/2014,67
83,5/4/2014,82
84,5/11/2014,79
85,5/18/2014,89
86,5/25/2014,89
87,6/1/2014,86
88,6/8/2014,76
89,6/15/2014,94
90,6/22/2014,68
91,6/29/2014,68
92,7/6/2014,64
93,7/13/2014,59
94,7/20/2014,57
95,7/27/2014,58
96,8/3/2014,55
97,8/10/2014,62
98,8/17/2014,60
99,8/24/2014,54
100,8/31/2014,56
101,9/7/2014,50
